name,receipts,disbursements,cash_on_hand_end_period,debts_owed_by_committee
Cynthia Jean Breyman,19292.73,19792.73,4500,0
Ross Alan Schumann,0,0,0,0
Brandon Batch,0,0,0,0
Jon Mark Hogg,9767.05,2279.1,7487.95,0
August Pfluger,704910,5133.58,699776.42,18096.56
Wesley Virdell,0,0,0,0
Richard Bartlett,22620.81,22620.81,0,0
Robert Tucker,245,594.47,520.5,3829.97
Wacey Alpha Cody,0,0,0,0
Jeffrey Cady,0,0,0,0
James Berryhill,0,0,0,0
Mike Conaway,435773.01,719009.75,815796.08,0
J. Ross Lacy,144336.03,10376.7,133959.33,18530
Ned Luscombe,0,0,0,0
Casey Gray,0,0,0,0
James Faircloth,0,0,0,0
